LabelName,min_x,min_y,min_z,max_x,max_y,max_z,extent_x,extent_y,extent_z,common_extent_x,common_extent_y,common_extent_z,common_min_x,common_min_y,common_min_z,common_max_x,common_max_y,common_max_z
Left-Cerebral-Exterior,,,,,,,,,,96,144,192,,,,,,
Left-Cerebral-White-Matter,78.0,12.0,10.0,147.0,137.0,187.0,69.0,125.0,177.0,96,144,192,64.0,2.0,2.0,160.0,146.0,194.0
Left-Cerebral-Cortex,,,,,,,,,,96,144,192,,,,,,
Left-Lateral-Ventricle,79.0,54.0,34.0,120.0,102.0,152.0,41.0,48.0,118.0,96,144,192,51.0,6.0,0.0,147.0,150.0,192.0
Left-Inf-Lat-Vent,99.0,92.0,74.0,122.0,122.0,114.0,23.0,30.0,40.0,96,144,192,62.0,35.0,0.0,158.0,179.0,192.0
Left-Cerebellum-Exterior,,,,,,,,,,96,144,192,,,,,,
Left-Cerebellum-White-Matter,79.0,90.0,34.0,124.0,144.0,92.0,45.0,54.0,58.0,96,144,192,53.0,45.0,0.0,149.0,189.0,192.0
Left-Cerebellum-Cortex,78.0,87.0,21.0,136.0,158.0,89.0,58.0,71.0,68.0,96,144,192,59.0,50.0,0.0,155.0,194.0,192.0
Left-Thalamus-unused,,,,,,,,,,96,144,192,,,,,,
Left-Thalamus,80.0,70.0,80.0,108.0,98.0,119.0,28.0,28.0,39.0,96,144,192,46.0,12.0,3.0,142.0,156.0,195.0
Left-Caudate,84.0,61.0,86.0,106.0,101.0,144.0,22.0,40.0,58.0,96,144,192,47.0,9.0,19.0,143.0,153.0,211.0
Left-Putamen,91.0,74.0,93.0,119.0,106.0,138.0,28.0,32.0,45.0,96,144,192,57.0,18.0,19.0,153.0,162.0,211.0
Left-Pallidum,91.0,82.0,98.0,111.0,101.0,127.0,20.0,19.0,29.0,96,144,192,53.0,19.0,16.0,149.0,163.0,208.0
3rd-Ventricle,74.0,82.0,89.0,85.0,108.0,123.0,11.0,26.0,34.0,96,144,192,31.0,23.0,10.0,127.0,167.0,202.0
4th-Ventricle,65.0,93.0,57.0,94.0,147.0,92.0,29.0,54.0,35.0,96,144,192,31.0,48.0,0.0,127.0,192.0,192.0
Brain-Stem,59.0,89.0,64.0,99.0,169.0,106.0,40.0,80.0,42.0,96,144,192,31.0,57.0,0.0,127.0,201.0,192.0
Left-Hippocampus,90.0,83.0,72.0,120.0,123.0,113.0,30.0,40.0,41.0,96,144,192,57.0,31.0,0.0,153.0,175.0,192.0
Left-Amygdala,92.0,99.0,102.0,116.0,123.0,120.0,24.0,24.0,18.0,96,144,192,56.0,39.0,15.0,152.0,183.0,207.0
Left-Insula,,,,,,,,,,96,144,192,,,,,,
Left-Operculum,,,,,,,,,,96,144,192,,,,,,
Line-1,,,,,,,,,,96,144,192,,,,,,
Line-2,,,,,,,,,,96,144,192,,,,,,
Line-3,,,,,,,,,,96,144,192,,,,,,
CSF,71.0,70.0,85.0,88.0,94.0,117.0,17.0,24.0,32.0,96,144,192,31.0,10.0,5.0,127.0,154.0,197.0
Left-Lesion,,,,,,,,,,96,144,192,,,,,,
Left-Accumbens-area,82.0,89.0,119.0,97.0,107.0,138.0,15.0,18.0,19.0,96,144,192,41.0,26.0,32.0,137.0,170.0,224.0
Left-Substancia-Nigra,,,,,,,,,,96,144,192,,,,,,
Left-VentralDC,78.0,90.0,85.0,113.0,112.0,121.0,35.0,22.0,36.0,96,144,192,47.0,29.0,7.0,143.0,173.0,199.0
Left-undetermined,,,,,,,,,,96,144,192,,,,,,
Left-vessel,102.0,95.0,102.0,114.0,104.0,122.0,12.0,9.0,20.0,96,144,192,60.0,27.0,16.0,156.0,171.0,208.0
Left-choroid-plexus,79.0,66.0,34.0,121.0,119.0,151.0,42.0,53.0,117.0,96,144,192,52.0,20.0,0.0,148.0,164.0,192.0
Left-F3orb,,,,,,,,,,96,144,192,,,,,,
Left-aOg,,,,,,,,,,96,144,192,,,,,,
Left-WMCrowns,,,,,,,,,,96,144,192,,,,,,
Left-mOg,,,,,,,,,,96,144,192,,,,,,
Left-pOg,,,,,,,,,,96,144,192,,,,,,
Left-Stellate,,,,,,,,,,96,144,192,,,,,,
Left-Porg,,,,,,,,,,96,144,192,,,,,,
Left-Aorg,,,,,,,,,,96,144,192,,,,,,
Right-Cerebral-Exterior,,,,,,,,,,96,144,192,,,,,,
Right-Cerebral-White-Matter,12.0,11.0,11.0,81.0,137.0,187.0,69.0,126.0,176.0,96,144,192,0.0,2.0,3.0,96.0,146.0,195.0
Right-Cerebral-Cortex,,,,,,,,,,96,144,192,,,,,,
Right-Lateral-Ventricle,39.0,54.0,38.0,81.0,102.0,152.0,42.0,48.0,114.0,96,144,192,12.0,6.0,0.0,108.0,150.0,192.0
Right-Inf-Lat-Vent,38.0,94.0,78.0,61.0,122.0,115.0,23.0,28.0,37.0,96,144,192,1.0,36.0,0.0,97.0,180.0,192.0
Right-Cerebellum-Exterior,,,,,,,,,,96,144,192,,,,,,
Right-Cerebellum-White-Matter,36.0,91.0,34.0,82.0,143.0,93.0,46.0,52.0,59.0,96,144,192,11.0,45.0,0.0,107.0,189.0,192.0
Right-Cerebellum-Cortex,23.0,86.0,21.0,82.0,159.0,89.0,59.0,73.0,68.0,96,144,192,4.0,50.0,0.0,100.0,194.0,192.0
Right-Thalamus-unused,,,,,,,,,,96,144,192,,,,,,
Right-Thalamus,52.0,70.0,80.0,82.0,97.0,119.0,30.0,27.0,39.0,96,144,192,19.0,11.0,3.0,115.0,155.0,195.0
Right-Caudate,54.0,61.0,86.0,77.0,100.0,146.0,23.0,39.0,60.0,96,144,192,17.0,8.0,20.0,113.0,152.0,212.0
Right-Putamen,41.0,74.0,94.0,69.0,105.0,140.0,28.0,31.0,46.0,96,144,192,7.0,17.0,21.0,103.0,161.0,213.0
Right-Pallidum,50.0,82.0,100.0,69.0,100.0,127.0,19.0,18.0,27.0,96,144,192,11.0,19.0,17.0,107.0,163.0,209.0
Right-Hippocampus,39.0,82.0,73.0,70.0,122.0,113.0,31.0,40.0,40.0,96,144,192,6.0,30.0,0.0,102.0,174.0,192.0
Right-Amygdala,43.0,98.0,102.0,68.0,124.0,121.0,25.0,26.0,19.0,96,144,192,7.0,39.0,15.0,103.0,183.0,207.0
Right-Insula,,,,,,,,,,96,144,192,,,,,,
Right-Operculum,,,,,,,,,,96,144,192,,,,,,
Right-Lesion,,,,,,,,,,96,144,192,,,,,,
Right-Accumbens-area,62.0,88.0,119.0,78.0,105.0,140.0,16.0,17.0,21.0,96,144,192,22.0,24.0,33.0,118.0,168.0,225.0
Right-Substancia-Nigra,,,,,,,,,,96,144,192,,,,,,
Right-VentralDC,47.0,89.0,86.0,81.0,112.0,121.0,34.0,23.0,35.0,96,144,192,16.0,28.0,7.0,112.0,172.0,199.0
Right-undetermined,,,,,,,,,,96,144,192,,,,,,
Right-vessel,46.0,94.0,103.0,57.0,103.0,122.0,11.0,9.0,19.0,96,144,192,3.0,26.0,16.0,99.0,170.0,208.0
Right-choroid-plexus,38.0,63.0,37.0,81.0,118.0,151.0,43.0,55.0,114.0,96,144,192,11.0,18.0,0.0,107.0,162.0,192.0
Right-F3orb,,,,,,,,,,96,144,192,,,,,,
Right-lOg,,,,,,,,,,96,144,192,,,,,,
Right-WMCrowns,,,,,,,,,,96,144,192,,,,,,
Right-mOg,,,,,,,,,,96,144,192,,,,,,
Right-pOg,,,,,,,,,,96,144,192,,,,,,
Right-Stellate,,,,,,,,,,96,144,192,,,,,,
Right-Porg,,,,,,,,,,96,144,192,,,,,,
Right-Aorg,,,,,,,,,,96,144,192,,,,,,
